date,handle,content,link,covid_1,covid_2,covid_3,covid_final,other_1,other_2,other_3,other_final
"April 06, 2020 at 10:55AM",@EsshakiCongress,Here’s why I’m suing Gretchen Whitmer and Jocelyn Benson in federal court. It is more important now than ever to protect our constitutional rights!! #MI11  #GOP https://t.co/VBWCyIfnbC,http://twitter.com/EsshakiCongress/status/1247175989446262786,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0
"April 06, 2020 at 02:25PM",@EsshakiCongress,"RT @GOPLeader: China lied to the world.

If the Chinese Communist Party would have allowed our scientists, our researchers, and our doctors in at the very beginning, we perhaps could have contained the coronavirus so that the rest of the world wouldn’t have to suffer. https://t.co/iyGVc1cirS",http://twitter.com/EsshakiCongress/status/1247228936112738310,TRUE ,TRUE,TRUE ,0,FALSE,FALSE,FALSE,0
"April 06, 2020 at 08:32PM",@EsshakiCongress,RT @TJErickson: You forgot to mention one other change: breaking House rules in fundraising solicitations. https://t.co/8tHUeQE145,http://twitter.com/EsshakiCongress/status/1247321339071025154,FALSE,FALSE,FALSE ,0,FALSE,FALSE,FALSE,0
"April 10, 2020 at 01:38PM",@EsshakiCongress,"In Lawsuit, @GovWhitmer  and Secretary @JocelynBenson Offer Unconstitutional Bribe.

#MI11 #EsshakiforCongress

https://t.co/40tpUQ0nrP",http://twitter.com/EsshakiCongress/status/1248666641292038149,FALSE,FALSE,FALSE ,0,FALSE,FALSE,FALSE,0
"April 10, 2020 at 03:02PM",@EsshakiCongress,"Getting some national attention:
""it violates his rights guaranteed by the First and Fourteenth amendments of the Constitution, before the April 21 deadline and ahead of the August 4 primary.""
https://t.co/Es2ncqoRYw",http://twitter.com/EsshakiCongress/status/1248687894409048067,FALSE,FALSE,FALSE ,0,FALSE,FALSE,FALSE,0
"April 11, 2020 at 10:54AM",@EsshakiCongress,"""This is how worried Gov. Whitmer and Secretary of State Jocelyn Benson are about my lawsuit.” “They sent an offer to create a special and likely unconstitutional loophole for me, in return for allowing their unconstitutional policy to remain unchallenged."" #MI11 https://t.co/OLfzDYMq61",http://twitter.com/EsshakiCongress/status/1248987875217211393,FALSE,FALSE,FALSE ,0,FALSE,FALSE,FALSE,0
"April 15, 2020 at 06:32PM",@EsshakiCongress,Michigan lawyer says Stay Home order prevents him from collecting signatures to run for office | FOX 2 Detroit https://t.co/DSabXgoOIc,http://twitter.com/EsshakiCongress/status/1250552642281050112,,FALSE,FALSE ,0,,FALSE,FALSE,0
"April 17, 2020 at 10:45AM",@EsshakiCongress,Haley Stevens disingenuous politics continues. She backed the Pelosi delay of this program by a week to put funding in for an Opera House.  Now she backs Pelosi obstructing this moving by unanimous consent.  #politicsisbroken Stevens is part of the problem. https://t.co/Rya5iBFItF,http://twitter.com/EsshakiCongress/status/1251159911322419201,,FALSE,FALSE ,0,,FALSE,FALSE,0
"April 20, 2020 at 07:45AM",@EsshakiCongress,"@scarmody Esshaki Defeats Whitmer in Federal Court. 
Esshaki said “Today was a victory for protecting our Constitutional Rights. It was a direct rebuke against Governor Whitmer’s partisan actions seeking unlimited power.”",http://twitter.com/EsshakiCongress/status/1252201832673206272,,FALSE,FALSE ,0,,FALSE,FALSE,0
"April 20, 2020 at 07:46AM",@EsshakiCongress,"@jonathanoosting Esshaki Defeats Whitmer in Federal Court. 
Esshaki said “Today was a victory for protecting our Constitutional Rights. It was a direct rebuke against Governor Whitmer’s partisan actions seeking unlimited power.”",http://twitter.com/EsshakiCongress/status/1252201886314192896,,FALSE,FALSE ,0,,FALSE,FALSE,0
"April 20, 2020 at 07:46AM",@EsshakiCongress,"@ZachGorchow Esshaki Defeats Whitmer in Federal Court. 
Esshaki said “Today was a victory for protecting our Constitutional Rights. It was a direct rebuke against Governor Whitmer’s partisan actions seeking unlimited power.”",http://twitter.com/EsshakiCongress/status/1252201989238218752,,FALSE,FALSE ,0,,FALSE,FALSE,0
"April 20, 2020 at 07:46AM",@EsshakiCongress,"@GongwerMichigan Esshaki Defeats Whitmer in Federal Court. 
Esshaki said “Today was a victory for protecting our Constitutional Rights. It was a direct rebuke against Governor Whitmer’s partisan actions seeking unlimited power.”",http://twitter.com/EsshakiCongress/status/1252202044087136256,,FALSE,FALSE ,0,,FALSE,FALSE,0
"April 20, 2020 at 07:47AM",@EsshakiCongress,"@scarmody @MichiganRadio Esshaki Defeats Whitmer in Federal Court. 
Esshaki said “Today was a victory for protecting our Constitutional Rights. It was a direct rebuke against Governor Whitmer’s partisan actions seeking unlimited power.”",http://twitter.com/EsshakiCongress/status/1252202163469611010,,FALSE,FALSE ,0,,FALSE,FALSE,0
"April 20, 2020 at 08:34AM",@EsshakiCongress,Today we won in court! Federal Judge STOPPED @GovWhitmer unconstitutional overreach and attempt to steal election. Freedom wins. Constitution wins. @GOP wins. We will win this fall with @realdonaldtrump #Mi11,http://twitter.com/EsshakiCongress/status/1252214001347383296,,FALSE,FALSE ,0,,FALSE,FALSE,0
"April 20, 2020 at 09:09AM",@EsshakiCongress,"@JocelynBenson @GovWhitmer Care to revise this statement since your position has been found unconstitutional? #mi11
https://t.co/XpqjNvkSAB",http://twitter.com/EsshakiCongress/status/1252222942030659584,,FALSE,FALSE ,0,,FALSE,FALSE,0
"April 20, 2020 at 01:17PM",@EsshakiCongress,"RT @NRCC: Supreme Leader @GovWhitmer may be able to ban lawn chairs, car seats &amp; fishing in Michigan, but she can’t ban Republican @EsshakiCongress from running against unhinged @HaleyLive! #MI11 

https://t.co/Fkc3zcHmTi",http://twitter.com/EsshakiCongress/status/1252285373415374849,,FALSE,FALSE ,0,,TRUE,FALSE,1
"April 20, 2020 at 01:21PM",@EsshakiCongress,"Show Whitmer and the LEFT that grassroots America opposes her attempt to steal the election.
We beat her in court!  
Even an Obama Judge said her actions were UNCONSTITUTIONAL. We will win this fall with @realdonaldtrump #Mi11
Join https://t.co/nMA3MYDHBU",http://twitter.com/EsshakiCongress/status/1252286331759149067,,FALSE,FALSE ,0,,TRUE,FALSE,1
"April 20, 2020 at 05:39PM",@EsshakiCongress,Thank you to the person in the blue pick up who dropped off the petition signatures in my mail box. The grass roots is mobilizing.,http://twitter.com/EsshakiCongress/status/1252351124398473225,,FALSE,FALSE ,0,,FALSE,FALSE,0
"April 21, 2020 at 03:15PM",@EsshakiCongress,"Governor Whitmer is enraged that the Federal Court limited her unconstitutional power grab to keep candidates off the ballot. Her partisan games go on. She is now appealing. The time is now to protect the constitution.

https://t.co/JjAoCbVSeL

https://t.co/nMA3MYDHBU",http://twitter.com/EsshakiCongress/status/1252677258776436736,,FALSE,FALSE ,0,,TRUE,FALSE,1
"April 21, 2020 at 03:15PM",@EsshakiCongress,@jonathanoosting Governor Whitmer is enraged that the Federal Court limited her unconstitutional power grab to keep candidates off the ballot. Her partisan games go on. She is now appealing. The time is now to protect the constitution.,http://twitter.com/EsshakiCongress/status/1252677411465949184,,FALSE,FALSE ,0,,FALSE,FALSE,0
"April 22, 2020 at 10:25PM",@EsshakiCongress,"“My court win wasn’t just for me. It was for the Constitution,” says Esshaki. “But this is what big government does. They seek out the little guy to punish them.”
Now Whitmer is counterattacking
https://t.co/eQ4PlOJy2p",http://twitter.com/EsshakiCongress/status/1253147950814859264,,FALSE,FALSE ,0,,FALSE,FALSE,0
